AeroDyn airfoil file Created with QBlade v0.963 64bit on 07.06.2018 at 09:27:00 Compatible with AeroDyn v13.0.
Polar "NACA2321_Re2.200_M0.02_N9.0 360 M" on Foil "NACA2321_Re2.200_M0.02_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.97          Angle of attack for zero Cn for linear Cn curve (deg)
6.22033        Cn slope for zero lift for linear Cn curve (1/rad)
-1.0961        Cn at stall value for positive angle of attack for linear Cn curve
-1.1170        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0072         Minimum CD value
   -118.00    0.3426    0.9578
   -117.00    0.3304    0.9751
   -116.00    0.3179    0.9919
   -115.00    0.3050    1.0083
   -114.00    0.2919    1.0242
   -113.00    0.2784    1.0396
   -112.00    0.2647    1.0545
   -111.00    0.2508    1.0688
   -110.00    0.2366    1.0826
   -109.00    0.2223    1.0959
   -108.00    0.2077    1.1085
   -107.00    0.1930    1.1206
   -106.00    0.1781    1.1320
   -105.00    0.1631    1.1429
   -104.00    0.1475    1.1531
   -103.00    0.1323    1.1626
   -102.00    0.1169    1.1715
   -101.00    0.1015    1.1797
   -100.00    0.0861    1.1872
    -99.00    0.0706    1.1941
    -98.00    0.0550    1.2002
    -97.00    0.0395    1.2056
    -96.00    0.0239    1.2103
    -95.00    0.0084    1.2144
    -94.00   -0.0071    1.2176
    -93.00   -0.0226    1.2202
    -92.00   -0.0380    1.2220
    -91.00   -0.0533    1.2231
    -90.00   -0.0686    1.2235
    -89.00   -0.0837    1.2231
    -88.00   -0.0988    1.2220
    -87.00   -0.1137    1.2202
    -86.00   -0.1285    1.2176
    -85.00   -0.1431    1.2143
    -84.00   -0.1575    1.2103
    -83.00   -0.1718    1.2056
    -82.00   -0.1859    1.2001
    -81.00   -0.1998    1.1940
    -80.00   -0.2135    1.1872
    -79.00   -0.2270    1.1796
    -78.00   -0.2402    1.1714
    -77.00   -0.2532    1.1625
    -76.00   -0.2659    1.1530
    -75.00   -0.2784    1.1428
    -74.00   -0.2906    1.1319
    -73.00   -0.3025    1.1205
    -72.00   -0.3141    1.1084
    -71.00   -0.3254    1.0957
    -70.00   -0.3363    1.0825
    -69.00   -0.3470    1.0687
    -68.00   -0.3573    1.0543
    -67.00   -0.3672    1.0394
    -66.00   -0.3769    1.0240
    -65.00   -0.3861    1.0081
    -64.00   -0.3950    0.9917
    -63.00   -0.4035    0.9749
    -62.00   -0.4116    0.9576
    -61.00   -0.4193    0.9399
    -60.00   -0.4266    0.9218
    -59.00   -0.4335    0.9033
    -58.00   -0.4399    0.8844
    -57.00   -0.4460    0.8653
    -56.00   -0.4516    0.8458
    -55.00   -0.4568    0.8260
    -54.00   -0.4616    0.8060
    -53.00   -0.4659    0.7857
    -52.00   -0.4698    0.7653
    -51.00   -0.4733    0.7446
    -50.00   -0.4763    0.7237
    -49.00   -0.4789    0.7027
    -48.00   -0.4811    0.6816
    -47.00   -0.4828    0.6604
    -46.00   -0.4842    0.6391
    -45.00   -0.4852    0.6177
    -44.00   -0.4859    0.5964
    -43.00   -0.4863    0.5750
    -42.00   -0.4864    0.5536
    -41.00   -0.4864    0.5322
    -40.00   -0.4862    0.5109
    -39.00   -0.4861    0.4896
    -38.00   -0.4862    0.4684
    -37.00   -0.4868    0.4472
    -36.00   -0.4881    0.4261
    -35.00   -0.4907    0.4050
    -34.00   -0.4952    0.3839
    -33.00   -0.5026    0.3626
    -32.00   -0.5145    0.3411
    -31.00   -0.5331    0.3192
    -30.00   -0.5620    0.2965
    -29.00   -0.6065    0.2725
    -28.00   -0.6754    0.2464
    -27.00   -0.7811    0.2172
    -26.00   -0.9399    0.1836
    -25.00   -1.1650    0.1446
    -24.00   -1.1368    0.1417
    -23.00   -1.2714    0.1083
    -22.00   -1.3849    0.0802
    -21.00   -1.4441    0.0609
    -20.00   -1.4639    0.0473
    -19.00   -1.4532    0.0377
    -18.00   -1.4208    0.0310
    -17.00   -1.3800    0.0257
    -16.00   -1.3488    0.0211
    -15.00   -1.2958    0.0183
    -14.00   -1.1858    0.0162
    -13.00   -1.1043    0.0143
    -12.00   -1.0292    0.0129
    -11.00   -0.9461    0.0120
    -10.00   -0.8531    0.0110
     -9.00   -0.7540    0.0103
     -8.00   -0.6501    0.0098
     -7.00   -0.5447    0.0092
     -6.00   -0.4379    0.0088
     -5.00   -0.3308    0.0084
     -4.00   -0.2210    0.0081
     -3.00   -0.1120    0.0079
     -2.00   -0.0032    0.0077
     -1.00    0.1034    0.0073
      0.00    0.2123    0.0072
      1.00    0.3228    0.0072
      2.00    0.4340    0.0072
      3.00    0.5439    0.0074
      4.00    0.6549    0.0075
      5.00    0.7624    0.0077
      6.00    0.8681    0.0080
      7.00    0.9706    0.0084
      8.00    1.0599    0.0090
      9.00    1.1537    0.0099
     10.00    1.2710    0.0111
     11.00    1.3417    0.0125
     12.00    1.4092    0.0142
     13.00    1.4713    0.0166
     14.00    1.5290    0.0196
     15.00    1.5747    0.0237
     16.00    1.6149    0.0288
     17.00    1.6422    0.0355
     18.00    1.6422    0.0454
     19.00    1.6412    0.0561
     20.00    1.6065    0.0709
     21.00    1.5813    0.0854
     22.00    1.5348    0.1029
     23.00    1.4822    0.1219
     24.00    1.4695    0.1359
     25.00    1.4460    0.1513
     26.00    1.4008    0.1710
     27.00    1.3693    0.1859
     28.00    1.3367    0.2063
     29.00    1.3054    0.2272
     30.00    1.2757    0.2488
     31.00    1.2478    0.2708
     32.00    1.2219    0.2933
     33.00    1.1978    0.3161
     34.00    1.1756    0.3392
     35.00    1.1551    0.3626
     36.00    1.1363    0.3862
     37.00    1.1190    0.4099
     38.00    1.1030    0.4338
     39.00    1.0882    0.4578
     40.00    1.0745    0.4819
     41.00    1.0617    0.5060
     42.00    1.0496    0.5301
     43.00    1.0381    0.5543
     44.00    1.0272    0.5784
     45.00    1.0166    0.6025
     46.00    1.0064    0.6265
     47.00    0.9962    0.6503
     48.00    0.9862    0.6741
     49.00    0.9762    0.6977
     50.00    0.9661    0.7212
     51.00    0.9558    0.7445
     52.00    0.9453    0.7675
     53.00    0.9346    0.7903
     54.00    0.9235    0.8128
     55.00    0.9121    0.8351
     56.00    0.9002    0.8570
     57.00    0.8879    0.8786
     58.00    0.8751    0.8998
     59.00    0.8618    0.9207
     60.00    0.8480    0.9412
     61.00    0.8336    0.9612
     62.00    0.8186    0.9808
     63.00    0.8030    0.9999
     64.00    0.7869    1.0185
     65.00    0.7701    1.0366
     66.00    0.7527    1.0542
     67.00    0.7347    1.0713
     68.00    0.7160    1.0877
     69.00    0.6967    1.1036
     70.00    0.6768    1.1189
     71.00    0.6564    1.1336
     72.00    0.6352    1.1476
     73.00    0.6136    1.1610
     74.00    0.5913    1.1737
     75.00    0.5684    1.1857
     76.00    0.5450    1.1970
     77.00    0.5211    1.2076
     78.00    0.4966    1.2175
     79.00    0.4717    1.2267
     80.00    0.4463    1.2351
     81.00    0.4204    1.2427
     82.00    0.3941    1.2496
     83.00    0.3674    1.2558
     84.00    0.3403    1.2611
     85.00    0.3129    1.2657
     86.00    0.2852    1.2695
     87.00    0.2572    1.2725
     88.00    0.2289    1.2747
     89.00    0.2004    1.2762
     90.00    0.1717    1.2768
     91.00    0.1429    1.2766
     92.00    0.1139    1.2756
     93.00    0.0849    1.2739
     94.00    0.0558    1.2713
     95.00    0.0267    1.2680
     96.00   -0.0024    1.2639
     97.00   -0.0314    1.2590
     98.00   -0.0603    1.2533
     99.00   -0.0891    1.2469
    100.00   -0.1177    1.2397
    101.00   -0.1461    1.2318
    102.00   -0.1742    1.2232
    103.00   -0.2021    1.2138
    104.00   -0.2296    1.2037
    105.00   -0.2826    1.1929
    106.00   -0.3087    1.1815
    107.00   -0.3344    1.1693
    108.00   -0.3596    1.1565
    109.00   -0.3844    1.1431
    110.00   -0.4086    1.1291
    111.00   -0.4323    1.1144
    112.00   -0.4554    1.0992
    113.00   -0.4778    1.0834
    114.00   -0.4996    1.0671
    115.00   -0.5207    1.0502
    116.00   -0.5411    1.0328
    117.00   -0.5607    1.0150
    118.00   -0.5796    0.9967
    119.00   -0.5976    0.9779
    120.00   -0.6148    0.9588
    121.00   -0.6312    0.9392
    122.00   -0.6466    0.9193
    123.00   -0.6612    0.8991
    124.00   -0.6748    0.8785
    125.00   -0.6875    0.8577
    126.00   -0.6992    0.8366
    127.00   -0.7100    0.8152
    128.00   -0.7197    0.7937
    129.00   -0.7285    0.7719
    130.00   -0.7362    0.7501
    131.00   -0.7429    0.7280
    132.00   -0.7486    0.7059
    133.00   -0.7532    0.6837
    134.00   -0.7568    0.6615
    135.00   -0.7594    0.6392
    136.00   -0.7609    0.6169
    137.00   -0.7614    0.5947
    138.00   -0.7608    0.5725
    139.00   -0.7592    0.5505
    140.00   -0.7566    0.5285
    141.00   -0.7530    0.5067
    142.00   -0.7484    0.4851
    143.00   -0.7428    0.4636
    144.00   -0.7363    0.4424
    145.00   -0.7288    0.4214
    146.00   -0.7203    0.4007
    147.00   -0.7110    0.3803
    148.00   -0.7008    0.3603
    149.00   -0.6898    0.3405
    150.00   -0.6780    0.3212
    151.00   -0.6654    0.3022
    152.00   -0.6522    0.2837
    153.00   -0.6383    0.2656
    154.00   -0.6238    0.2479
    155.00   -0.6089    0.2308
    156.00   -0.5936    0.2141
    157.00   -0.5782    0.1980
    158.00   -0.5627    0.1824
    159.00   -0.5474    0.1674
    160.00   -0.5327    0.1530
    161.00   -0.5192    0.1391
    162.00   -0.5074    0.1259
    163.00   -0.4986    0.1133
    164.00   -0.4942    0.1013
    165.00   -0.4967    0.0900
    166.00   -0.5094    0.0794
    167.00   -0.5365    0.0694
    168.00   -0.5809    0.0602
    169.00   -0.6395    0.0516
    170.00   -0.6941    0.0438
    171.00   -0.7154    0.0366
    172.00   -0.6874    0.0302
    173.00   -0.6223    0.0246
    174.00   -0.5420    0.0197
    175.00   -0.4588    0.0155
    176.00   -0.3756    0.0121
    177.00   -0.2924    0.0094
    178.00   -0.2092    0.0075
    179.00   -0.1260    0.0064
    180.00   -0.0428    0.0060

